Artist,Album / Compilation,Slot-Nummer (neu),Cluster / Notizen,Discogslink,,Cover Art URL,Tracklist,CD Notes
Nas,Illmatic,01,Genre: Hip-Hop,https://www.discogs.com/release/1227102-Nas-Illmatic,,https://i.discogs.com/Dk3joX5_aVaDasrSTxk_U-K_ru5y6kYWnfpiTNp0HoQ/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMjcx/MDItMTIwMjA5ODQ4/NC5qcGVn.jpeg,"01 The Genesis (1:45)
02 N.Y. State Of Mind (4:54)
03 Life's A Bitch (3:31)
04 The World Is Yours (4:51)
05 Halftime (4:21)
06 Memory Lane (Sittin' In Da Park) (4:08)
07 One Love (5:26)
08 One Time 4 Your Mind (3:19)
09 Represent (4:12)
10 It Ain't Hard To Tell (3:23)",
A Tribe Called Quest,Midnight Marauders,02,Genre: Hip-Hop,https://www.discogs.com/release/417186-A-Tribe-Called-Quest-Midnight-Marauders,,https://i.discogs.com/TwwQcNIpgi5_dGe4O5nwMR-ceqesgFrLRU3c4eiX6-E/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxNzE4/Ni0xNzEyMDgwNTYy/LTM2MTYuanBlZw.jpeg,"01 Midnight Marauders Tour Guide (0:45)
02 Steve Biko (Stir It Up) (3:11)
03 Award Tour (3:46)
04 8 Million Stories (4:21)
05 Sucka Nigga (4:05)
06 Midnight (4:25)
07 We Can Get Down (4:19)
08 Electric Relaxation (4:04)
09 Clap Your Hands (3:16)
10 Oh My God (3:29)
11 Keep It Rollin' (3:05)
12 The Chase, Part 2 (4:02)
13 Lyrics To Go (4:09)
14 God Live Through (4:15)
15 Hot Sex (2:45)",
A Tribe Called Quest,The Love Movement CD 1,03,Genre: Hip-Hop,https://www.discogs.com/release/391625-A-Tribe-Called-Quest-The-Love-Movement,,https://i.discogs.com/o-TyrKtHKMjDoRUtPUnaZ7lJ202v_Ev-3iT5rs3dSOU/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5MTYy/NS0xNDY2MzU1Mzk0/LTU1MDcucG5n.jpeg,"01 Start It Up (3:18)
02 Find A Way (3:23)
03 Da Booty (3:20)
04 Steppin' It Up (3:22)
05 Like It Like That (2:46)
06 Common Ground (Get It Goin' On) (2:49)
07 4 Moms (1:49)
08 His Name Is Mutty Ranks (1:56)
09 Give Me (3:52)
10 Pad & Pen (3:23)
11 Busta's Lament (2:39)
12 Hot 4 U (3:15)
13 Against The World (3:59)
14 The Love (4:02)
15 Rock Rock Y'all (4:17)",
A Tribe Called Quest,The Love Movement CD 2,04,Genre: Hip-Hop,https://www.discogs.com/release/391625-A-Tribe-Called-Quest-The-Love-Movement,,https://i.discogs.com/o-TyrKtHKMjDoRUtPUnaZ7lJ202v_Ev-3iT5rs3dSOU/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5MTYy/NS0xNDY2MzU1Mzk0/LTU1MDcucG5n.jpeg,"01 Scenario (Remix) (5:17)
02 Money Maker (4:22)
03 Hot Sex (2:45)
04 Oh My God (Remix) (4:02)
05 Jazz (We've Got) (Re-recording Radio) (4:19)
06 One Two S**t (4:33)",
Gang Starr,Daily Operation,05,Genre: Hip-Hop,https://www.discogs.com/release/343439-Gang-Starr-Daily-Operation,,https://i.discogs.com/ZMOqIdR25ZKpH8WuJjaAPB5PxOQWOVv8ICWycq62izs/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0MzQz/OS0xMzkyNTc0NjY4/LTYwNzUucG5n.jpeg,"01 Daily Operation (Intro) (0:27)
02 The Place Where We Dwell (2:27)
03 Flip The Script (4:02)
04 Ex Girl To Next Girl (4:40)
05 Soliloquy Of Chaos (3:13)
06 I'm The Man (4:05)
07 92 Interlude (0:28)
08 Take It Personal (3:07)
09 2 Deep (3:38)
10 24-7/365 (0:24)
11 No Shame In My Game (3:55)
12 Conspiracy (2:48)
13 The Illest Brother (4:44)
14 Hardcore Composer (3:16)
15 B. Y. S. (3:06)
16 Much Too Much (Mack A Mil) (3:31)
17 Take Two And Pass (3:15)
18 Stay Tuned (2:31)",
Gang Starr,Hard to Earn,06,Genre: Hip-Hop,https://www.discogs.com/release/85110-Gang-Starr-Hard-To-Earn,,https://i.discogs.com/3MYHzjn47L_fnSRbrsqeKkbTpDebLwjB9q4vNwug6Rc/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1MTEw/LTExNjI0ODg5ODEu/anBlZw.jpeg,"01 Intro (The First Step) (0:54)
02 ALONGWAYTOGO (4:13)
03 Code Of The Streets (3:29)
04 Brainstorm (3:02)
05 Tonz 'O' Gunz (3:55)
06 The Planet (5:16)
07 Aiiight Chill... (3:13)
08 Speak Ya Clout (3:35)
09 DWYCK (4:03)
10 Words From The Nutcracker (1:29)
11 Mass Appeal (3:41)
12 Blowin' Up The Spot (3:10)
13 Suckas Need Bodyguards (4:05)
14 Now You're Mine (2:55)
15 Mostly Tha Voice (3:38)
16 F.A.L.A. (4:17)
17 Comin' For Datazz (4:02)",
Gang Starr,Moment of Truth,07,Genre: Hip-Hop,https://www.discogs.com/release/227898-Gang-Starr-Moment-Of-Truth,,https://i.discogs.com/Y6rWgaKHNsSAa3uQ6VOI3Y08KqYcRnS-yQd0xOSpJ5c/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzg5/OC0xMzU4Mzk1NDMy/LTc5NzguanBlZw.jpeg,"01 You Know My Steez (4:07)
02 Robbin Hood Theory (3:44)
03 Work (2:57)
04 Royalty (5:11)
05 Above The Clouds (3:41)
06 JFK 2 LAX (3:34)
07 Itz A Set Up (3:49)
08 Moment Of Truth (4:07)
09 B.I. Vs Friendship (4:37)
10 The Militia (4:48)
11 The Rep Grows Bigga (4:55)
12 What I'm Here 4 (2:45)
13 She Knowz What She Wantz (3:00)
14 New York Strait Talk (4:14)
15 My Advice 2 You (2:31)
16 Make 'Em Pay (4:21)
17 The Mall (3:40)
18 Betrayal (5:29)
19 Next Time (3:06)
20 In Memory Of... (3:50)",
Mobb Deep,The Infamous,08,Genre: Hip-Hop,https://www.discogs.com/release/208148-Mobb-Deep-The-Infamous,,https://i.discogs.com/dZCkbf1PWM1Nll2_k18V_pot4_fUtMtK_RIsHOTHYwQ/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwODE0/OC0xNTQwMTM5NDYz/LTM5NzYuanBlZw.jpeg,"01 The Start Of Your Ending (41st Side) (4:24)
02 [The Infamous Prelude] (2:12)
03 Survival Of The Fittest (3:43)
04 Eye For A Eye (Your Beef Is Mines) (4:54)
05 [Just Step Prelude] (1:06)
06 Give Up The Goods (Just Step) (4:02)
07 Temperature's Rising (5:00)
08 Up North Trip (4:58)
09 Trife Life (5:19)
10 Q.U.—Hectic (4:55)
11 Right Back At You (4:52)
12 [The Grave Prelude] (0:30)
13 Cradle To The Grave (5:16)
14 Drink Away The Pain (Situations) (4:44)
15 Shook Ones Pt. II (5:24)
16 Party Over (5:40)",
Mobb Deep,Hell on Earth,09,Genre: Hip-Hop,https://www.discogs.com/release/208146-Mobb-Deep-Hell-On-Earth,,https://i.discogs.com/4WxJom3p07RVJsMVbu30wuQVZb275ER8h0USZqGGPSc/rs:fit/g:sm/q:90/h:300/w:301/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwODE0/Ni0xMDk5MTkyNDEy/LmpwZw.jpeg,"01 Animal Instinct (3:29)
02 Drop A Gem On 'Em (4:18)
03 Bloodsport (3:34)
04 Extortion (3:31)
05 More Trife Life (3:44)
06 Man Down (5:02)
07 Can't Get Enough Of It (4:50)
08 Nighttime Vultures (4:27)
09 G.O.D. Pt. III (5:17)
10 Get Dealt With (3:55)
11 Hell On Earth (Front Lines) (4:36)
12 Give It Up Fast (4:02)
13 Still Shinin' (4:11)
14 Apostle's Warning (4:01)
15 In The Long Run (2:38)",
Cypress Hill,Greatest Hits from the Bong,10,Genre: Hip-Hop,https://www.discogs.com/release/776284-Cypress-Hill-Greatest-Hits-From-The-Bong,,https://i.discogs.com/wZL24yhBvE6KK64DG0BgxWMJ9audBsyNCorH8HfsW4A/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc3NjI4/NC0xNDk3Mzc2NzQx/LTIxOTQuanBlZw.jpeg,"01 How I Could Just Kill A Man (4:07)
02 Hand On The Pump (4:02)
03 Latin Lingo (3:59)
04 Insane In The Brain (3:26)
05 I Ain't Goin' Out Like That (4:24)
06 Throw Your Set In The Air (4:05)
07 Dr. Greenthumb (4:25)
08 (Rock) Superstar (4:35)
09 Latin Thugs (3:46)
10 The Only Way (3:41)
11 EZ Come EZ Go (4:04)
12 Latin Thugs (Reggaeton Mix) (3:37)",
